Date_id,Year,Quarter,Month,Day,Day_of_Week
19/06/2016,2016,2,6,19,Sunday
20/06/2016,2016,2,6,20,Monday
21/06/2016,2016,2,6,21,Tuesday
22/06/2016,2016,2,6,22,Wednesday
23/06/2016,2016,2,6,23,Thursday
24/06/2016,2016,2,6,24,Friday
25/06/2016,2016,2,6,25,Saturday
26/06/2016,2016,2,6,26,Sunday
27/06/2016,2016,2,6,27,Monday
28/06/2016,2016,2,6,28,Tuesday
29/06/2016,2016,2,6,29,Wednesday
30/06/2016,2016,2,6,30,Thursday
01/07/2016,2016,3,7,1,Friday
02/07/2016,2016,3,7,2,Saturday
03/07/2016,2016,3,7,3,Sunday
04/07/2016,2016,3,7,4,Monday
05/07/2016,2016,3,7,5,Tuesday
06/07/2016,2016,3,7,6,Wednesday
07/07/2016,2016,3,7,7,Thursday
08/07/2016,2016,3,7,8,Friday
09/07/2016,2016,3,7,9,Saturday
10/07/2016,2016,3,7,10,Sunday
11/07/2016,2016,3,7,11,Monday
12/07/2016,2016,3,7,12,Tuesday
13/07/2016,2016,3,7,13,Wednesday
14/07/2016,2016,3,7,14,Thursday
15/07/2016,2016,3,7,15,Friday
16/07/2016,2016,3,7,16,Saturday
17/07/2016,2016,3,7,17,Sunday
18/07/2016,2016,3,7,18,Monday
19/07/2016,2016,3,7,19,Tuesday
20/07/2016,2016,3,7,20,Wednesday
21/07/2016,2016,3,7,21,Thursday
22/07/2016,2016,3,7,22,Friday
23/07/2016,2016,3,7,23,Saturday
24/07/2016,2016,3,7,24,Sunday
25/07/2016,2016,3,7,25,Monday
26/07/2016,2016,3,7,26,Tuesday
27/07/2016,2016,3,7,27,Wednesday
28/07/2016,2016,3,7,28,Thursday
29/07/2016,2016,3,7,29,Friday
30/07/2016,2016,3,7,30,Saturday
31/07/2016,2016,3,7,31,Sunday
01/08/2016,2016,3,8,1,Monday
02/08/2016,2016,3,8,2,Tuesday
03/08/2016,2016,3,8,3,Wednesday
04/08/2016,2016,3,8,4,Thursday
05/08/2016,2016,3,8,5,Friday
06/08/2016,2016,3,8,6,Saturday
07/08/2016,2016,3,8,7,Sunday
08/08/2016,2016,3,8,8,Monday
09/08/2016,2016,3,8,9,Tuesday
10/08/2016,2016,3,8,10,Wednesday
11/08/2016,2016,3,8,11,Thursday
12/08/2016,2016,3,8,12,Friday
13/08/2016,2016,3,8,13,Saturday
14/08/2016,2016,3,8,14,Sunday
15/08/2016,2016,3,8,15,Monday
16/08/2016,2016,3,8,16,Tuesday
17/08/2016,2016,3,8,17,Wednesday
18/08/2016,2016,3,8,18,Thursday
19/08/2016,2016,3,8,19,Friday
20/08/2016,2016,3,8,20,Saturday
21/08/2016,2016,3,8,21,Sunday
22/08/2016,2016,3,8,22,Monday
23/08/2016,2016,3,8,23,Tuesday
24/08/2016,2016,3,8,24,Wednesday
25/08/2016,2016,3,8,25,Thursday
26/08/2016,2016,3,8,26,Friday
27/08/2016,2016,3,8,27,Saturday
28/08/2016,2016,3,8,28,Sunday
29/08/2016,2016,3,8,29,Monday
30/08/2016,2016,3,8,30,Tuesday
31/08/2016,2016,3,8,31,Wednesday
01/09/2016,2016,3,9,1,Thursday
02/09/2016,2016,3,9,2,Friday
03/09/2016,2016,3,9,3,Saturday
04/09/2016,2016,3,9,4,Sunday
05/09/2016,2016,3,9,5,Monday
06/09/2016,2016,3,9,6,Tuesday
07/09/2016,2016,3,9,7,Wednesday
08/09/2016,2016,3,9,8,Thursday
09/09/2016,2016,3,9,9,Friday
10/09/2016,2016,3,9,10,Saturday
11/09/2016,2016,3,9,11,Sunday
12/09/2016,2016,3,9,12,Monday
13/09/2016,2016,3,9,13,Tuesday
14/09/2016,2016,3,9,14,Wednesday
15/09/2016,2016,3,9,15,Thursday
